master_project_en,project_name_en,growth_stage,property_type_en,median_price,price_per_sqm,transaction_count,earliest_transaction_year,developer_name
Al Furjan,ALFURJAN PACKAGE 6,Maturity,Villa,3150000.0,8696.174178736821,249,2022.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 6,Off-Plan or Launch,Villa,2971000.0,8876.407653166205,32,2014.0,Nakheel
Al Furjan,AVENUE RESIDENCE 4,Off-Plan or Launch,Land,120000000.0,34083.55014258285,1,2020.0,Nakheel
Al Furjan,AVENUE RESIDENCE 4,Off-Plan or Launch,Unit,1250000.0,12968.444214859468,139,2023.0,Nakheel
Al Furjan,AVENUE RESIDENCE1,Early Growth,Unit,945000.0,8182.411950613526,15,2016.0,Nakheel
Al Furjan,AVENUE RESIDENCE1,Maturity,Unit,956250.0,6545.680713354599,13,2018.0,Nakheel
Al Furjan,AVENUE RESIDENCE1,Off-Plan or Launch,Unit,1105728.0,8663.745225705654,182,2013.0,Nakheel
Al Furjan,AVENUE RESIDENCE1,Stabilized / Legacy,Unit,1113860.0,8736.41673317676,63,2022.0,Nakheel
Al Furjan,AZIZI JEWEL ,Early Growth,Land,12173944.0,2831.722697382959,1,2023.0,Nakheel
Al Furjan,AZIZI JEWEL ,Early Growth,Unit,553350.0,16207.158204312227,31,2024.0,Nakheel
Al Furjan,AZIZI JEWEL ,Maturity,Unit,539000.0,16658.7259199211,11,2025.0,Nakheel
Al Furjan,AZIZI JEWEL ,Off-Plan or Launch,Land,20132436.5,4682.909449121101,2,2014.0,Nakheel
Al Furjan,AZIZI NEILA,Early Growth,Land,17754351.5,5693.398719219089,2,2023.0,Nakheel
Al Furjan,AZIZI NEILA,Early Growth,Unit,558000.0,15785.068178392954,9,2024.0,Nakheel
Al Furjan,AZIZI NEILA,Maturity,Unit,575000.0,15673.092330961685,20,2025.0,Nakheel
Al Furjan,AZIZI NEILA,Off-Plan or Launch,Land,8783840.0,2816.7688020497626,1,2021.0,Nakheel
Al Furjan,AZIZI. DAISY,Early Growth,Unit,744000.0,7654.074692082778,16,2019.0,Nakheel
Al Furjan,AZIZI. DAISY,Maturity,Unit,1020960.0,7795.524283045954,49,2021.0,Nakheel
Al Furjan,AZIZI. DAISY,Off-Plan or Launch,Unit,1224542.0,8887.79559783568,148,2016.0,Nakheel
Al Furjan,AZIZI. DAISY,Stabilized / Legacy,Unit,1280000.0,9868.391547589075,9,2025.0,Nakheel
Al Furjan,AZIZI. FEIROUZ,Early Growth,Unit,950520.0,7690.525722269189,10,2018.0,Nakheel
Al Furjan,AZIZI. FEIROUZ,Maturity,Unit,939400.0,6963.282740934153,27,2020.0,Nakheel
Al Furjan,AZIZI. FEIROUZ,Off-Plan or Launch,Unit,1179430.0,9196.743969093188,113,2014.0,Nakheel
Al Furjan,AZIZI. FEIROUZ,Stabilized / Legacy,Unit,856000.0,8191.867644818419,13,2024.0,Nakheel
Al Furjan,AZIZI. FREESIA,Early Growth,Unit,760000.0,6938.156607875636,11,2020.0,Nakheel
Al Furjan,AZIZI. FREESIA,Maturity,Unit,1076960.0,8364.281996479114,43,2022.0,Nakheel
Al Furjan,AZIZI. FREESIA,Off-Plan or Launch,Land,1710000.0,8155.673200744027,1,2018.0,Nakheel
Al Furjan,AZIZI. FREESIA,Off-Plan or Launch,Unit,1160500.0,8742.94133117247,128,2015.0,Nakheel
Al Furjan,AZIZI. ORCHID,Early Growth,Unit,897500.0,7093.593318734639,6,2019.0,Nakheel
Al Furjan,AZIZI. ORCHID,Maturity,Unit,1125000.0,8188.758437317492,54,2021.0,Nakheel
Al Furjan,AZIZI. ORCHID,Off-Plan or Launch,Unit,1179904.0,8878.58767069706,122,2014.0,Nakheel
Al Furjan,AZIZI. ORCHID,Stabilized / Legacy,Unit,1350000.0,9330.292349160274,2,2025.0,Nakheel
Al Furjan,AZIZI. TULIP,Early Growth,Unit,825000.0,6887.826870149557,15,2019.0,Nakheel
Al Furjan,AZIZI. TULIP,Maturity,Land,3000000.0,36959.46778366392,1,2022.0,Nakheel
Al Furjan,AZIZI. TULIP,Maturity,Unit,1057157.5,7793.094439768622,44,2021.0,Nakheel
Al Furjan,AZIZI. TULIP,Off-Plan or Launch,Land,1980000.0,7719.900187149095,1,2018.0,Nakheel
Al Furjan,AZIZI. TULIP,Off-Plan or Launch,Unit,1200000.0,9085.420718911691,104,2016.0,Nakheel
Al Furjan,AZIZI. TULIP,Stabilized / Legacy,Unit,1152500.0,10920.305386126616,4,2025.0,Nakheel
Al Furjan,AZIZI. YASAMINE,Early Growth,Unit,935000.0,8250.267204687472,16,2018.0,Nakheel
Al Furjan,AZIZI. YASAMINE,Maturity,Unit,873440.0,7172.793151314052,41,2020.0,Nakheel
Al Furjan,AZIZI. YASAMINE,Off-Plan or Launch,Unit,1108500.0,9106.900388252776,140,2014.0,Nakheel
Al Furjan,AZIZI. YASAMINE,Stabilized / Legacy,Unit,965625.0,8342.392434343852,20,2024.0,Nakheel
Al Furjan,Al Fouad,Early Growth,Unit,449000.0,7087.733951896948,42,2020.0,Nakheel
Al Furjan,Al Fouad,Maturity,Unit,572691.0,8011.024187218307,77,2022.0,Nakheel
Al Furjan,Al Fouad,Off-Plan or Launch,Unit,474500.0,7173.51494137018,68,2017.0,Nakheel
Al Furjan,Avenue Residence 2,Early Growth,Unit,1615532.0,6928.806815003712,7,2019.0,Nakheel
Al Furjan,Avenue Residence 2,Maturity,Unit,1082400.0,8689.01418763907,71,2021.0,Nakheel
Al Furjan,Avenue Residence 2,Off-Plan or Launch,Unit,1085622.0,9190.423388479689,87,2015.0,Nakheel
Al Furjan,Avenue Residence 2,Stabilized / Legacy,Unit,1660520.0,10752.756151985252,6,2025.0,Nakheel
Al Furjan,Azizi Berton,Off-Plan or Launch,Building,21684229.0,5434.657480344563,2,2013.0,Nakheel
Al Furjan,Azizi Berton,Off-Plan or Launch,Unit,412220.0,11241.366989712831,250,2017.0,Nakheel
Al Furjan,Azizi Central ,Maturity,Unit,1186400.0,16588.366890380315,2,2024.0,Nakheel
Al Furjan,Azizi Central ,Off-Plan or Launch,Land,16941843.0,5413.957479172592,2,2017.0,Nakheel
Al Furjan,Azizi Central ,Stabilized / Legacy,Unit,1623860.0,13972.29392531406,1,2025.0,Nakheel
Al Furjan,Azizi Farishta Residence ,Early Growth,Unit,548780.0,12410.024514549368,37,2018.0,Nakheel
Al Furjan,Azizi Farishta Residence ,Maturity,Land,675000.0,18233.38735818476,1,2023.0,Nakheel
Al Furjan,Azizi Farishta Residence ,Maturity,Unit,624890.0,9746.58845605767,153,2020.0,Nakheel
Al Furjan,Azizi Farishta Residence ,Off-Plan or Launch,Building,21468335.0,5548.032841112898,2,2016.0,Nakheel
Al Furjan,Azizi Farishta Residence ,Off-Plan or Launch,Unit,526317.5,14042.699579208936,62,2016.0,Nakheel
Al Furjan,Azizi Farishta Residence ,Stabilized / Legacy,Land,3110000.0,37249.97005629417,1,2025.0,Nakheel
Al Furjan,Azizi Farishta Residence ,Stabilized / Legacy,Unit,634000.0,11889.840018093491,70,2024.0,Nakheel
Al Furjan,Azizi Pearl,Off-Plan or Launch,Building,18705744.0,4867.424000992513,3,2013.0,Nakheel
Al Furjan,Azizi Pearl,Off-Plan or Launch,Unit,713250.0,14705.943196086822,175,2024.0,Nakheel
Al Furjan,Azizi Plaza Hotel Apartments,Early Growth,Unit,529356.5,14303.7600144178,48,2018.0,Nakheel
Al Furjan,Azizi Plaza Hotel Apartments,Maturity,Land,42000000.0,64199.56894575136,1,2022.0,Nakheel
Al Furjan,Azizi Plaza Hotel Apartments,Maturity,Unit,532000.0,11076.253077850371,201,2020.0,Nakheel
Al Furjan,Azizi Plaza Hotel Apartments,Off-Plan or Launch,Building,31119077.5,5605.101928702143,2,2016.0,Nakheel
Al Furjan,Azizi Plaza Hotel Apartments,Off-Plan or Launch,Unit,534553.0,14414.965219500336,99,2017.0,Nakheel
Al Furjan,Azizi Plaza Hotel Apartments,Stabilized / Legacy,Land,6100000.0,28067.915152072885,1,2025.0,Nakheel
Al Furjan,Azizi Plaza Hotel Apartments,Stabilized / Legacy,Unit,510000.0,11483.485791289691,60,2024.0,Nakheel
Al Furjan,Azizi Samia Residence,Early Growth,Unit,567274.5,12700.30147914015,50,2018.0,Nakheel
Al Furjan,Azizi Samia Residence,Maturity,Land,30000000.0,142578.77477306212,1,2020.0,Nakheel
Al Furjan,Azizi Samia Residence,Maturity,Unit,627921.0,9896.380225292312,168,2020.0,Nakheel
Al Furjan,Azizi Samia Residence,Off-Plan or Launch,Building,23143000.0,5799.974437307496,1,2016.0,Nakheel
Al Furjan,Azizi Samia Residence,Off-Plan or Launch,Unit,539000.0,13942.288539105351,52,2017.0,Nakheel
Al Furjan,Azizi Samia Residence,Stabilized / Legacy,Land,4950000.0,87255.42041248018,1,2025.0,Nakheel
Al Furjan,Azizi Samia Residence,Stabilized / Legacy,Unit,703572.0,10219.53158566674,62,2024.0,Nakheel
Al Furjan,Azizi Shaista Residence,Early Growth,Unit,556738.0,13511.182515800152,12,2018.0,Nakheel
Al Furjan,Azizi Shaista Residence,Maturity,Land,2409000.0,67478.99159663865,1,2021.0,Nakheel
Al Furjan,Azizi Shaista Residence,Maturity,Unit,682475.5,9897.621331888318,178,2020.0,Nakheel
Al Furjan,Azizi Shaista Residence,Off-Plan or Launch,Building,22361521.0,5662.119301550647,2,2016.0,Nakheel
Al Furjan,Azizi Shaista Residence,Off-Plan or Launch,Unit,515544.5,13824.951537609038,66,2016.0,Nakheel
Al Furjan,Azizi Shaista Residence,Stabilized / Legacy,Unit,630311.0,12472.598012914848,50,2024.0,Nakheel
Al Furjan,Azizi Star Hotel Apartments,Early Growth,Unit,554189.0,14236.264990560216,35,2018.0,Nakheel
Al Furjan,Azizi Star Hotel Apartments,Maturity,Land,58000000.0,88510.43049642144,1,2022.0,Nakheel
Al Furjan,Azizi Star Hotel Apartments,Maturity,Unit,475920.0,11373.0179471038,275,2020.0,Nakheel
Al Furjan,Azizi Star Hotel Apartments,Off-Plan or Launch,Building,32318411.0,5576.514507070202,2,2016.0,Nakheel
Al Furjan,Azizi Star Hotel Apartments,Off-Plan or Launch,Unit,545145.0,14500.74261443886,85,2017.0,Nakheel
Al Furjan,Azizi Star Hotel Apartments,Stabilized / Legacy,Unit,485000.0,12547.47239344998,70,2024.0,Nakheel
Al Furjan,Azizi. Iris,Early Growth,Unit,937500.0,6760.2955919641445,7,2019.0,Nakheel
Al Furjan,Azizi. Iris,Maturity,Unit,936160.0,7542.408981924623,41,2021.0,Nakheel
Al Furjan,Azizi. Iris,Off-Plan or Launch,Unit,1238496.0,8796.253945321134,121,2014.0,Nakheel
Al Furjan,Azizi. Iris,Stabilized / Legacy,Unit,1377500.0,9925.666337939609,6,2025.0,Nakheel
Al Furjan,Azizi. Liatris,Early Growth,Unit,938100.0,8114.81563596168,11,2018.0,Nakheel
Al Furjan,Azizi. Liatris,Maturity,Unit,860000.0,6848.3077366429225,65,2020.0,Nakheel
Al Furjan,Azizi. Liatris,Off-Plan or Launch,Unit,1228309.0,8962.703197663475,165,2014.0,Nakheel
Al Furjan,Azizi. Liatris,Stabilized / Legacy,Unit,1144800.0,8945.134389611301,35,2024.0,Nakheel
Al Furjan,CANDACE ACACIA HOTEL APARTMENTS,Early Growth,Unit,468000.0,10422.969375029432,23,2020.0,Nakheel
Al Furjan,CANDACE ACACIA HOTEL APARTMENTS,Maturity,Unit,494500.0,11316.27823305211,94,2022.0,Nakheel
Al Furjan,CANDACE ACACIA HOTEL APARTMENTS,Off-Plan or Launch,Unit,532878.0,13461.49831610748,264,2016.0,Nakheel
Al Furjan,CANDACE ASTER HOTEL APARTMENTS,Early Growth,Unit,325000.0,9998.91543318277,10,2020.0,Nakheel
Al Furjan,CANDACE ASTER HOTEL APARTMENTS,Maturity,Unit,517500.0,11633.084405979267,62,2022.0,Nakheel
Al Furjan,CANDACE ASTER HOTEL APARTMENTS,Off-Plan or Launch,Land,13936000.0,96589.96395896868,1,2018.0,Nakheel
Al Furjan,CANDACE ASTER HOTEL APARTMENTS,Off-Plan or Launch,Unit,493353.0,13019.390749347149,189,2016.0,Nakheel
Al Furjan,Celeste Heights by Zimaya Properties,Off-Plan or Launch,Land,11545000.0,4608.78243512974,2,2016.0,Nakheel
Al Furjan,Celeste Heights by Zimaya Properties,Off-Plan or Launch,Unit,1121050.0,13137.934587160198,20,2025.0,Nakheel
Al Furjan,DREAMZ,Early Growth,Villa,1479000.0,7383.94955594429,43,2020.0,Nakheel
Al Furjan,DREAMZ,Maturity,Villa,2316000.0,11832.113672926958,124,2022.0,Nakheel
Al Furjan,DREAMZ,Off-Plan or Launch,Villa,2470958.0,10062.895740327527,239,2014.0,Nakheel
Al Furjan,EQUITI ARCADE,Early Growth,Unit,1215564.5,12303.16043781584,52,2023.0,Nakheel
Al Furjan,EQUITI ARCADE,Maturity,Unit,1476000.0,16418.535132979614,12,2025.0,Nakheel
Al Furjan,EQUITI ARCADE,Off-Plan or Launch,Land,8419000.0,4438.411049898516,2,2015.0,Nakheel
Al Furjan,EQUITI RESIDENCE ,Maturity,Unit,1060000.0,10738.71329119335,81,2023.0,Nakheel
Al Furjan,EQUITI RESIDENCE ,Off-Plan or Launch,Land,9694294.0,4090.2813407142376,1,2018.0,Nakheel
Al Furjan,Evora Residences,Off-Plan or Launch,Land,12817570.0,5468.059963823761,1,2016.0,Nakheel
Al Furjan,Evora Residences,Stabilized / Legacy,Land,21331128.0,9100.0,1,2024.0,Nakheel
Al Furjan,Evora Residences,Stabilized / Legacy,Unit,1673777.0,14407.21409517063,33,2025.0,Nakheel
Al Furjan,GEMZ by Danube ,Off-Plan or Launch,Land,25718000.0,2732.431447504444,1,2022.0,Nakheel
Al Furjan,GEMZ by Danube ,Off-Plan or Launch,Unit,1311000.0,11925.332705661816,217,2022.0,Nakheel
Al Furjan,GLAMZ RESIDENCE,Early Growth,Unit,500000.0,12641.130571559504,15,2018.0,Nakheel
Al Furjan,GLAMZ RESIDENCE,Maturity,Unit,450000.0,9089.394882776149,121,2020.0,Nakheel
Al Furjan,GLAMZ RESIDENCE,Off-Plan or Launch,Building,10347599.0,5623.236692660924,2,2014.0,Nakheel
Al Furjan,GLAMZ RESIDENCE,Off-Plan or Launch,Unit,505000.0,12383.985891129618,296,2016.0,Nakheel
Al Furjan,GLAMZ RESIDENCE,Stabilized / Legacy,Unit,530000.0,11839.614509149991,63,2024.0,Nakheel
Al Furjan,MICASA AVENUE,Maturity,Land,3849150.0,62623.091068204056,11,2023.0,Nakheel
Al Furjan,MICASA AVENUE,Off-Plan or Launch,Building,6500000.0,3556.3823384581715,1,2014.0,Nakheel
Al Furjan,MICASA AVENUE,Off-Plan or Launch,Unit,551500.0,8916.734033953111,2,2019.0,Nakheel
Al Furjan,MURANO RESIDENCE 1,Early Growth,Unit,802500.0,10573.483558982252,10,2021.0,Nakheel
Al Furjan,MURANO RESIDENCE 1,Maturity,Unit,680000.0,9774.28597232313,47,2023.0,Nakheel
Al Furjan,MURANO RESIDENCE 1,Off-Plan or Launch,Building,12388000.0,5942.256311368858,2,2015.0,Nakheel
Al Furjan,MURANO RESIDENCE 1,Off-Plan or Launch,Unit,743171.0,10815.049696036474,71,2016.0,Nakheel
Al Furjan,MUROOJ ALFURJAN WEST,Off-Plan or Launch,Land,2338800.0,9464.658001480951,639,2021.0,Nakheel
Al Furjan,Maria Tower,Early Growth,Unit,1292744.0,10285.564753417868,3,2018.0,Nakheel
Al Furjan,Maria Tower,Maturity,Unit,709489.5,8289.376408048698,48,2019.0,Nakheel
Al Furjan,Maria Tower,Off-Plan or Launch,Building,5372500.0,5713.966646813579,1,2015.0,Nakheel
Al Furjan,Maria Tower,Stabilized / Legacy,Unit,820000.0,10219.390380152256,63,2023.0,Nakheel
Al Furjan,Minati Homes 1,Early Growth,Unit,1057460.0,14265.948795633143,8,2025.0,Nakheel
Al Furjan,Minati Homes 1,Off-Plan or Launch,Land,10200000.0,4599.263086991927,3,2014.0,Nakheel
Al Furjan,Montrell Hotel Aprtments,Early Growth,Unit,379500.0,9572.285891210577,18,2021.0,Nakheel
Al Furjan,Montrell Hotel Aprtments,Maturity,Unit,450000.0,9846.975851929888,64,2023.0,Nakheel
Al Furjan,Montrell Hotel Aprtments,Off-Plan or Launch,Unit,518977.0,11735.80880907292,233,2016.0,Nakheel
Al Furjan,Murano Residence 5,Maturity,Building,3180000.0,738.7651934728469,1,2022.0,Nakheel
Al Furjan,Murano Residence 5,Off-Plan or Launch,Building,3524766.0,2541.476043771881,3,2015.0,Nakheel
Al Furjan,Murooj Al Furjan 1,Off-Plan or Launch,Land,3798800.0,7057.137793642685,434,2021.0,Nakheel
Al Furjan,Murooj Al Furjan 2 ,Off-Plan or Launch,Land,2750000.0,7898.6794724507645,589,2021.0,Nakheel
Al Furjan,Nadine Residences ,Maturity,Unit,1435000.0,11155.702107719935,82,2024.0,Nakheel
Al Furjan,Nadine Residences ,Off-Plan or Launch,Land,11606275.0,3502.63913954092,1,2019.0,Nakheel
Al Furjan,Nadine Residences 2,Maturity,Unit,1420000.0,11130.32935290721,76,2024.0,Nakheel
Al Furjan,Nadine Residences 2,Off-Plan or Launch,Land,10083109.5,3044.196525614086,2,2019.0,Nakheel
Al Furjan,PEARLZ by Danube,Maturity,Unit,992500.0,12293.475768898204,284,2022.0,Nakheel
Al Furjan,PEARLZ by Danube,Off-Plan or Launch,Land,22988812.5,6042.3830410021,4,2013.0,Nakheel
Al Furjan,PG ONE AT AL FURJAN,Maturity,Land,12600000.0,6847.7516548733165,1,2022.0,Nakheel
Al Furjan,PG ONE AT AL FURJAN,Off-Plan or Launch,Land,10941000.0,6432.538776752427,3,2014.0,Nakheel
Al Furjan,PG ONE AT AL FURJAN,Stabilized / Legacy,Unit,960077.5,14902.467675649386,92,2024.0,Nakheel
Al Furjan,PG UPPERHOUSE,Early Growth,Unit,745000.0,9057.146016872748,2,2025.0,Nakheel
Al Furjan,PG UPPERHOUSE,Off-Plan or Launch,Land,10822384.5,5411.760484850909,2,2014.0,Nakheel
Al Furjan,PG UPPERHOUSE,Off-Plan or Launch,Unit,872379.0,10755.475480413084,105,2022.0,Nakheel
Al Furjan,Prime Residency 3,Maturity,Unit,470000.0,11848.18857191446,300,2021.0,Nakheel
Al Furjan,Prime Residency 3,Off-Plan or Launch,Land,14531175.0,3229.042365254492,1,2017.0,Nakheel
Al Furjan,Prime Residency 3,Stabilized / Legacy,Unit,640000.0,13626.585725120696,63,2025.0,Nakheel
Al Furjan,Prime Townhouses,Early Growth,Villa,2260000.0,9502.253554487004,17,2022.0,Nakheel
Al Furjan,Prime Townhouses,Maturity,Villa,3825000.0,17237.494366831907,2,2025.0,Nakheel
Al Furjan,Prime Townhouses,Off-Plan or Launch,Land,2274223.5,2538.195870535714,2,2014.0,Nakheel
Al Furjan,Primero Residences by Main Realty,Early Growth,Unit,1040000.0,12627.581429601987,17,2025.0,Nakheel
Al Furjan,Primero Residences by Main Realty,Off-Plan or Launch,Land,11997500.0,6020.302683607315,2,2014.0,Nakheel
Al Furjan,Primero Residences by Main Realty,Off-Plan or Launch,Unit,1525000.0,12345.494714825549,45,2024.0,Nakheel
Al Furjan,Pristine By Zoya,Early Growth,Unit,1095000.0,15378.749232511256,9,2025.0,Nakheel
Al Furjan,Pristine By Zoya,Off-Plan or Launch,Land,12300000.0,4910.179640718563,1,2023.0,Nakheel
Al Furjan,Pristine By Zoya,Off-Plan or Launch,Unit,1020000.0,13083.388498517024,6,2024.0,Nakheel
Al Furjan,RAFFI BY AZIZI,Off-Plan or Launch,Land,11884405.0,4443.848037840971,1,2024.0,Nakheel
Al Furjan,Roy Mediterranean Hotel Apartments,Early Growth,Unit,426254.0,9593.849713213627,11,2020.0,Nakheel
Al Furjan,Roy Mediterranean Hotel Apartments,Maturity,Unit,450000.0,11105.949322093882,91,2022.0,Nakheel
Al Furjan,Roy Mediterranean Hotel Apartments,Off-Plan or Launch,Unit,515888.5,13012.381882557353,248,2016.0,Nakheel
Al Furjan,SPARKLZ by Danube ,Off-Plan or Launch,Land,25000000.0,2396.742470021596,3,2019.0,Nakheel
Al Furjan,STARZ TOWER by DANUBE,Early Growth,Unit,808982.0,12192.753752975434,17,2017.0,Nakheel
Al Furjan,STARZ TOWER by DANUBE,Maturity,Unit,194658.5,5270.566124194023,546,2019.0,Nakheel
Al Furjan,STARZ TOWER by DANUBE,Off-Plan or Launch,Building,12903687.5,6057.244553558436,2,2015.0,Nakheel
Al Furjan,STARZ TOWER by DANUBE,Off-Plan or Launch,Unit,482376.0,12244.345517326148,316,2016.0,Nakheel
Al Furjan,STARZ TOWER by DANUBE,Stabilized / Legacy,Unit,530000.0,11673.496136580074,116,2023.0,Nakheel
Al Furjan,SYMBOLIC AURA,Off-Plan or Launch,Land,5000000.0,5018.065034122842,1,2015.0,Nakheel
Al Furjan,SYMBOLIC AURA,Stabilized / Legacy,Land,9373742.0,4703.828301025196,1,2023.0,Nakheel
Al Furjan,SYMBOLIC AURA,Stabilized / Legacy,Unit,1690350.0,14584.069479438134,54,2024.0,Nakheel
Al Furjan,Sold Without Project for Nakheel,Off-Plan or Launch,Land,10399000.0,3615.9486308157016,2,2014.0,Nakheel
Al Furjan,The Estate - II ,Maturity,Land,1157334.0,6675.468350205871,22,2019.0,Nakheel
Al Furjan,The Estate - II ,Maturity,Villa,1990000.0,9037.766889666462,17,2021.0,Nakheel
Al Furjan,The Estate - II ,Off-Plan or Launch,Land,1646000.0,2809.362487682453,12,2014.0,Nakheel
Al Furjan,The Estate - II ,Stabilized / Legacy,Land,3219670.0,5320.08028682813,2,2023.0,Nakheel
Al Furjan,The Estate - II ,Stabilized / Legacy,Villa,1936000.0,9850.643644293325,8,2023.0,Nakheel
Al Furjan,The Hub Residences by ZaZEN,Off-Plan or Launch,Land,23580045.0,7491.483933688739,1,2014.0,Nakheel
Al Furjan,The Hub Residences by ZaZEN,Stabilized / Legacy,Unit,1660000.0,14201.868076363317,73,2025.0,Nakheel
Al Furjan,The Stella,Early Growth,Land,1918126.0,7123.994833391385,29,2023.0,Nakheel
Al Furjan,The Stella,Off-Plan or Launch,Land,1583000.0,2508.921568627451,17,2015.0,Nakheel
Al Furjan,The Stella Residences,Maturity,Land,347510.0,8917.470000970143,3,2022.0,Nakheel
Al Furjan,The Stella Residences,Maturity,Unit,1071634.0,11928.067965379814,153,2024.0,Nakheel
Al Furjan,The Stella Residences,Off-Plan or Launch,Land,12983500.0,6031.991600230436,2,2015.0,Nakheel
Al Furjan,The Stella Residences,Stabilized / Legacy,Land,35000000.0,5420.499088581796,1,2025.0,Nakheel
Al Furjan,The Stella Residences,Stabilized / Legacy,Unit,962520.0,13046.16664650301,7,2025.0,Nakheel
Al Furjan,VICTORIA RESIDENCY,Early Growth,Unit,955405.0,7084.004453993723,20,2021.0,Nakheel
Al Furjan,VICTORIA RESIDENCY,Maturity,Unit,941621.0,9375.662114775378,116,2023.0,Nakheel
Al Furjan,VICTORIA RESIDENCY,Off-Plan or Launch,Unit,817500.0,8092.35023614676,95,2017.0,Nakheel
Al Furjan,VISTARA HOUSE,Off-Plan or Launch,Land,16000000.0,5834.582298606629,2,2016.0,Nakheel
Al Furjan,VISTARA HOUSE,Off-Plan or Launch,Unit,1225276.0,14586.012425901034,31,2025.0,Nakheel
Al Furjan,Westwood By Imtiaz,Off-Plan or Launch,Unit,540000.0,13104.882068649777,215,2022.0,Nakheel
Al Furjan,Zazen Gardens,Maturity,Unit,1266000.0,10924.003499368018,164,2023.0,Nakheel
Al Furjan,Zazen Gardens,Off-Plan or Launch,Land,9768885.0,2690.974976861034,1,2018.0,Nakheel
Al Khail Towers,AL KHAIL HEIGHTS,Early Growth,Building,20069000.0,7534.794312767738,1,2019.0,Dubai Properties
Al Khail Towers,AL KHAIL HEIGHTS,Off-Plan or Launch,Land,61216050.0,19373.569740338404,4,2016.0,Dubai Properties
Al Khail Towers,AL KHAIL HEIGHTS,Stabilized / Legacy,Land,38400042.5,12915.00072310471,2,2025.0,Dubai Properties
